Web Search interest: mindre
Denmark Jan 2011 - Feb 2016

Interest over time
Week,mindre
2011-01-02 - 2011-01-08,45
2011-01-09 - 2011-01-15,49
2011-01-16 - 2011-01-22,43
2011-01-23 - 2011-01-29,40
2011-01-30 - 2011-02-05,47
2011-02-06 - 2011-02-12,39
2011-02-13 - 2011-02-19,40
2011-02-20 - 2011-02-26,45
2011-02-27 - 2011-03-05,42
2011-03-06 - 2011-03-12,41
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,49
2011-03-27 - 2011-04-02,53
2011-04-03 - 2011-04-09,51
2011-04-10 - 2011-04-16,46
2011-04-17 - 2011-04-23,34
2011-04-24 - 2011-04-30,41
2011-05-01 - 2011-05-07,38
2011-05-08 - 2011-05-14,45
2011-05-15 - 2011-05-21,44
2011-05-22 - 2011-05-28,41
2011-05-29 - 2011-06-04,42
2011-06-05 - 2011-06-11,53
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,34
2011-06-26 - 2011-07-02,42
2011-07-03 - 2011-07-09,41
2011-07-10 - 2011-07-16,38
2011-07-17 - 2011-07-23,36
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,33
2011-08-07 - 2011-08-13,36
2011-08-14 - 2011-08-20,37
2011-08-21 - 2011-08-27,42
2011-08-28 - 2011-09-03,44
2011-09-04 - 2011-09-10,45
2011-09-11 - 2011-09-17,47
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,51
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,41
2011-10-16 - 2011-10-22,46
2011-10-23 - 2011-10-29,43
2011-10-30 - 2011-11-05,50
2011-11-06 - 2011-11-12,39
2011-11-13 - 2011-11-19,41
2011-11-20 - 2011-11-26,53
2011-11-27 - 2011-12-03,47
2011-12-04 - 2011-12-10,45
2011-12-11 - 2011-12-17,47
2011-12-18 - 2011-12-24,41
2011-12-25 - 2011-12-31,35
2012-01-01 - 2012-01-07,32
2012-01-08 - 2012-01-14,46
2012-01-15 - 2012-01-21,50
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,41
2012-02-05 - 2012-02-11,43
2012-02-12 - 2012-02-18,45
2012-02-19 - 2012-02-25,48
2012-02-26 - 2012-03-03,57
2012-03-04 - 2012-03-10,45
2012-03-11 - 2012-03-17,50
2012-03-18 - 2012-03-24,39
2012-03-25 - 2012-03-31,46
2012-04-01 - 2012-04-07,46
2012-04-08 - 2012-04-14,50
2012-04-15 - 2012-04-21,45
2012-04-22 - 2012-04-28,47
2012-04-29 - 2012-05-05,42
2012-05-06 - 2012-05-12,40
2012-05-13 - 2012-05-19,48
2012-05-20 - 2012-05-26,44
2012-05-27 - 2012-06-02,48
2012-06-03 - 2012-06-09,50
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,47
2012-06-24 - 2012-06-30,46
2012-07-01 - 2012-07-07,34
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,39
2012-07-29 - 2012-08-04,38
2012-08-05 - 2012-08-11,47
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,44
2012-08-26 - 2012-09-01,43
2012-09-02 - 2012-09-08,43
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,58
2012-09-23 - 2012-09-29,48
2012-09-30 - 2012-10-06,53
2012-10-07 - 2012-10-13,51
2012-10-14 - 2012-10-20,37
2012-10-21 - 2012-10-27,53
2012-10-28 - 2012-11-03,44
2012-11-04 - 2012-11-10,46
2012-11-11 - 2012-11-17,40
2012-11-18 - 2012-11-24,50
2012-11-25 - 2012-12-01,48
2012-12-02 - 2012-12-08,44
2012-12-09 - 2012-12-15,45
2012-12-16 - 2012-12-22,40
2012-12-23 - 2012-12-29,38
2012-12-30 - 2013-01-05,41
2013-01-06 - 2013-01-12,56
2013-01-13 - 2013-01-19,51
2013-01-20 - 2013-01-26,48
2013-01-27 - 2013-02-02,50
2013-02-03 - 2013-02-09,46
2013-02-10 - 2013-02-16,41
2013-02-17 - 2013-02-23,52
2013-02-24 - 2013-03-02,51
2013-03-03 - 2013-03-09,56
2013-03-10 - 2013-03-16,52
2013-03-17 - 2013-03-23,49
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,46
2013-04-07 - 2013-04-13,53
2013-04-14 - 2013-04-20,49
2013-04-21 - 2013-04-27,48
2013-04-28 - 2013-05-04,48
2013-05-05 - 2013-05-11,46
2013-05-12 - 2013-05-18,54
2013-05-19 - 2013-05-25,50
2013-05-26 - 2013-06-01,56
2013-06-02 - 2013-06-08,51
2013-06-09 - 2013-06-15,49
2013-06-16 - 2013-06-22,51
2013-06-23 - 2013-06-29,70
2013-06-30 - 2013-07-06,77
2013-07-07 - 2013-07-13,57
2013-07-14 - 2013-07-20,50
2013-07-21 - 2013-07-27,43
2013-07-28 - 2013-08-03,45
2013-08-04 - 2013-08-10,46
2013-08-11 - 2013-08-17,45
2013-08-18 - 2013-08-24,46
2013-08-25 - 2013-08-31,52
2013-09-01 - 2013-09-07,53
2013-09-08 - 2013-09-14,53
2013-09-15 - 2013-09-21,50
2013-09-22 - 2013-09-28,55
2013-09-29 - 2013-10-05,52
2013-10-06 - 2013-10-12,53
2013-10-13 - 2013-10-19,51
2013-10-20 - 2013-10-26,57
2013-10-27 - 2013-11-02,51
2013-11-03 - 2013-11-09,56
2013-11-10 - 2013-11-16,52
2013-11-17 - 2013-11-23,62
2013-11-24 - 2013-11-30,44
2013-12-01 - 2013-12-07,46
2013-12-08 - 2013-12-14,49
2013-12-15 - 2013-12-21,66
2013-12-22 - 2013-12-28,42
2013-12-29 - 2014-01-04,50
2014-01-05 - 2014-01-11,69
2014-01-12 - 2014-01-18,84
2014-01-19 - 2014-01-25,75
2014-01-26 - 2014-02-01,65
2014-02-02 - 2014-02-08,54
2014-02-09 - 2014-02-15,54
2014-02-16 - 2014-02-22,54
2014-02-23 - 2014-03-01,54
2014-03-02 - 2014-03-08,56
2014-03-09 - 2014-03-15,48
2014-03-16 - 2014-03-22,56
2014-03-23 - 2014-03-29,59
2014-03-30 - 2014-04-05,54
2014-04-06 - 2014-04-12,57
2014-04-13 - 2014-04-19,52
2014-04-20 - 2014-04-26,50
2014-04-27 - 2014-05-03,46
2014-05-04 - 2014-05-10,53
2014-05-11 - 2014-05-17,48
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,56
2014-06-01 - 2014-06-07,59
2014-06-08 - 2014-06-14,55
2014-06-15 - 2014-06-21,50
2014-06-22 - 2014-06-28,53
2014-06-29 - 2014-07-05,46
2014-07-06 - 2014-07-12,49
2014-07-13 - 2014-07-19,42
2014-07-20 - 2014-07-26,46
2014-07-27 - 2014-08-02,40
2014-08-03 - 2014-08-09,41
2014-08-10 - 2014-08-16,47
2014-08-17 - 2014-08-23,52
2014-08-24 - 2014-08-30,51
2014-08-31 - 2014-09-06,55
2014-09-07 - 2014-09-13,52
2014-09-14 - 2014-09-20,63
2014-09-21 - 2014-09-27,60
2014-09-28 - 2014-10-04,56
2014-10-05 - 2014-10-11,52
2014-10-12 - 2014-10-18,52
2014-10-19 - 2014-10-25,54
2014-10-26 - 2014-11-01,59
2014-11-02 - 2014-11-08,53
2014-11-09 - 2014-11-15,62
2014-11-16 - 2014-11-22,63
2014-11-23 - 2014-11-29,55
2014-11-30 - 2014-12-06,48
2014-12-07 - 2014-12-13,62
2014-12-14 - 2014-12-20,58
2014-12-21 - 2014-12-27,39
2014-12-28 - 2015-01-03,42
2015-01-04 - 2015-01-10,58
2015-01-11 - 2015-01-17,65
2015-01-18 - 2015-01-24,62
2015-01-25 - 2015-01-31,59
2015-02-01 - 2015-02-07,65
2015-02-08 - 2015-02-14,55
2015-02-15 - 2015-02-21,63
2015-02-22 - 2015-02-28,67
2015-03-01 - 2015-03-07,62
2015-03-08 - 2015-03-14,63
2015-03-15 - 2015-03-21,67
2015-03-22 - 2015-03-28,63
2015-03-29 - 2015-04-04,47
2015-04-05 - 2015-04-11,60
2015-04-12 - 2015-04-18,64
2015-04-19 - 2015-04-25,56
2015-04-26 - 2015-05-02,61
2015-05-03 - 2015-05-09,63
2015-05-10 - 2015-05-16,50
2015-05-17 - 2015-05-23,59
2015-05-24 - 2015-05-30,61
2015-05-31 - 2015-06-06,63
2015-06-07 - 2015-06-13,64
2015-06-14 - 2015-06-20,59
2015-06-21 - 2015-06-27,56
2015-06-28 - 2015-07-04,46
2015-07-05 - 2015-07-11,47
2015-07-12 - 2015-07-18,52
2015-07-19 - 2015-07-25,47
2015-07-26 - 2015-08-01,47
2015-08-02 - 2015-08-08,47
2015-08-09 - 2015-08-15,55
2015-08-16 - 2015-08-22,55
2015-08-23 - 2015-08-29,51
2015-08-30 - 2015-09-05,64
2015-09-06 - 2015-09-12,58
2015-09-13 - 2015-09-19,56
2015-09-20 - 2015-09-26,58
2015-09-27 - 2015-10-03,60
2015-10-04 - 2015-10-10,54
2015-10-11 - 2015-10-17,48
2015-10-18 - 2015-10-24,59
2015-10-25 - 2015-10-31,64
2015-11-01 - 2015-11-07,58
2015-11-08 - 2015-11-14,62
2015-11-15 - 2015-11-21,61
2015-11-22 - 2015-11-28,58
2015-11-29 - 2015-12-05,62
2015-12-06 - 2015-12-12,55
2015-12-13 - 2015-12-19,66
2015-12-20 - 2015-12-26,48
2015-12-27 - 2016-01-02,45
2016-01-03 - 2016-01-09,62
2016-01-10 - 2016-01-16,63
2016-01-17 - 2016-01-23,57
2016-01-24 - 2016-01-30,58
2016-01-31 - 2016-02-06,58
2016-02-07 - 2016-02-13,64
2016-02-14 - 2016-02-20,54
2016-02-21 - 2016-02-27,58
2016-02-28 - 2016-03-05,100


Top subregions for mindre
Subregion,mindre
North Denmark Region,100
Capital Region of Denmark,99
Syddanmark,95
Central Denmark Region,95
Region Zealand,95


Top cities for mindre
City,mindre
Hjorring,100
Holstebro,98
Søborg,96
Hillerod,95
Slagelse Municipality,93
Herlev,93
Fredericia,89
Skive,89
Herning,86
Vejle County,86
Svendborg,85
Roskilde County,85
Samsø,84
Køge,83
Randers,82



Top searches for mindre
mindre end,100
med mindre,65
større mindre end,30
større end,30
ved mindre,20
jo mindre,20
mindre end tegn,15
øl mindre tøj,15
større mindre tegn,15
større eller mindre,10
større end tegn,10
mindre lår,10
desto mindre,10
mere eller mindre,5
ikke desto mindre,5



Rising searches for mindre
større eller mindre,+200%
større mindre tegn,+180%
større end tegn,+170%
ved mindre,+130%
mindre end tegn,+120%
større mindre end,+120%
desto mindre,+110%
mindre lår,+110%
større end,+100%
med mindre,+90%



